"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.780749750E0,1.507365417E-1,2.412982178E-1,9.696535950E0,9.700709034E0
1.790705750E0,1.642085266E-1,2.486329651E-1,9.710007935E0,9.714578575E0
1.800661750E0,1.517843628E-1,2.538720703E-1,9.705217896E0,9.709724194E0
1.810617750E0,1.511856079E-1,2.472857666E-1,9.694140930E0,9.698472855E0
1.820573750E0,1.649569702E-1,2.435435486E-1,9.693392487E0,9.697854513E0
1.830529750E0,1.672023010E-1,2.483335876E-1,9.690847778E0,9.695470945E0
1.840485750E0,1.648072815E-1,2.538720703E-1,9.697134705E0,9.701857242E0
1.850441750E0,1.534309387E-1,2.474354553E-1,9.707762604E0,9.712127477E0
1.860397750E0,1.649569702E-1,2.451901245E-1,9.717342682E0,9.721835104E0
1.870353750E0,1.546284485E-1,2.520758057E-1,9.701325989E0,9.705832170E0
1.880309750E0,1.595681763E-1,2.441423035E-1,9.696835327E0,9.701220688E0
1.890265750E0,1.679507446E-1,2.532733154E-1,9.701475677E0,9.706234344E0
1.900221750E0,1.597178650E-1,2.468367004E-1,9.706116028E0,9.710567774E0
1.910177750E0,1.642085266E-1,2.534230042E-1,9.700577545E0,9.705276522E0
1.920133750E0,1.553768921E-1,2.487826538E-1,9.696236572E0,9.700672062E0
1.930089750E0,1.513352966E-1,2.586621094E-1,9.710906067E0,9.715529069E0
1.940045750E0,1.604663086E-1,2.435435486E-1,9.702822876E0,9.707205296E0
1.950001750E0,1.502874756E-1,2.513273621E-1,9.699978790E0,9.704397988E0
1.959957750E0,1.490899658E-1,2.540217590E-1,9.702074432E0,9.706544347E0
1.969914750E0,1.570234680E-1,2.383044434E-1,9.689051514E0,9.693253562E0
1.979870750E0,1.591191101E-1,2.484832764E-1,9.693542175E0,9.698031900E0
1.989826750E0,1.547781372E-1,2.439926147E-1,9.699829102E0,9.704131763E0
1.999782750E0,1.704954529E-1,2.505789185E-1,9.702822876E0,9.707555318E0
2.009738750E0,1.745370483E-1,2.538720703E-1,9.697284393E0,9.702177014E0
2.019694750E0,1.531315613E-1,2.555186462E-1,9.702074432E0,9.706646555E0
2.029650750E0,1.631607056E-1,2.398013306E-1,9.699380035E0,9.703715740E0
2.039606750E0,1.570234680E-1,2.504292297E-1,9.700876923E0,9.705379139E0
2.049562750E0,1.633103943E-1,2.502795410E-1,9.701026611E0,9.705628648E0
2.059518750E0,1.603166199E-1,2.487826538E-1,9.706116028E0,9.710627301E0
2.069474750E0,1.576222229E-1,2.442919922E-1,9.697883148E0,9.702239994E0
2.079431000E0,1.683998108E-1,2.486329651E-1,9.708361359E0,9.713004536E0
2.089387000E0,1.763333130E-1,2.586621094E-1,9.706864471E0,9.711911109E0
2.099343000E0,1.661544800E-1,2.447410583E-1,9.694440308E0,9.698952437E0
2.109299000E0,1.514849854E-1,2.597099304E-1,9.698032837E0,9.702692299E0
2.119255000E0,1.522334290E-1,2.555186462E-1,9.690698090E0,9.695261433E0
2.129211000E0,1.613644409E-1,2.408491516E-1,9.706565094E0,9.710893508E0
2.139167000E0,1.672023010E-1,2.553689575E-1,9.700727234E0,9.705528259E0
2.149123000E0,1.564247131E-1,2.383044434E-1,9.701176300E0,9.705363430E0
2.159079000E0,1.466949463E-1,2.412982178E-1,9.708211670E0,9.712317852E0
2.169035000E0,1.610650635E-1,2.529739380E-1,9.701475677E0,9.706109833E0
2.178991000E0,1.621128845E-1,2.516267395E-1,9.697583771E0,9.702202203E0
2.188947000E0,1.553768921E-1,2.558180237E-1,9.712852020E0,9.717462591E0
2.198903000E0,1.514849854E-1,2.549198914E-1,9.699829102E0,9.704360693E0
2.208859000E0,1.595681763E-1,2.457888794E-1,9.690398712E0,9.694828589E0
2.218815000E0,1.672023010E-1,2.570155334E-1,9.695039063E0,9.699886392E0
2.228771000E0,1.517843628E-1,2.532733154E-1,9.692194977E0,9.696691670E0
2.238727000E0,1.535806274E-1,2.442919922E-1,9.696835327E0,9.701127818E0
2.248683000E0,1.564247131E-1,2.502795410E-1,9.692793732E0,9.697286160E0
2.258639000E0,1.544787598E-1,2.450404358E-1,9.710307312E0,9.714626941E0
2.268595000E0,1.499880981E-1,2.411485291E-1,9.704918518E0,9.709072689E0
2.278551000E0,1.616638184E-1,2.462379456E-1,9.705517273E0,9.709986295E0
2.288507000E0,1.616638184E-1,2.531236267E-1,9.690249023E0,9.694902418E0
2.298463000E0,1.562750244E-1,2.505789185E-1,9.702523499E0,9.707016736E0
2.308419000E0,1.564247131E-1,2.408491516E-1,9.714348907E0,9.718593093E0
2.318375000E0,1.552272034E-1,2.438429260E-1,9.703870697E0,9.708174976E0
2.328331000E0,1.559756470E-1,2.442919922E-1,9.705666962E0,9.709993726E0
2.338287000E0,1.517843628E-1,2.477348328E-1,9.701924744E0,9.706273990E0
2.348243000E0,1.537303162E-1,2.451901245E-1,9.681417389E0,9.685741782E0
2.358199000E0,1.580712891E-1,2.493814087E-1,9.705517273E0,9.710007372E0
2.368155000E0,1.579216003E-1,2.471360779E-1,9.706864471E0,9.711294113E0
2.378111000E0,1.709445190E-1,2.525248718E-1,9.700577545E0,9.705369418E0
2.388067000E0,1.630110168E-1,2.538720703E-1,9.692344666E0,9.697039174E0
2.398023000E0,1.574725342E-1,2.474354553E-1,9.695637817E0,9.700072917E0
2.407979000E0,1.583706665E-1,2.406994629E-1,9.696835327E0,9.701115032E0
2.417935000E0,1.598675537E-1,2.564167786E-1,9.707163849E0,9.711865793E0
2.427891000E0,1.592687988E-1,2.444416809E-1,9.703122253E0,9.707507391E0
2.437847000E0,1.549278259E-1,2.531236267E-1,9.692344666E0,9.696887094E0
2.447803000E0,1.573228455E-1,2.538720703E-1,9.703571320E0,9.708166555E0
2.457759000E0,1.559756470E-1,2.585124207E-1,9.697434082E0,9.702133005E0
