"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.735894292E0,-4.065066548E-2,-2.026025506E-2,-1.158421129E-1,1.244280903E-1
1.745850292E0,-2.099603578E-2,-2.257741526E-2,-1.227237010E-1,1.265372672E-1
1.755806292E0,-3.748503774E-3,-2.887108410E-2,-1.376931578E-1,1.407373315E-1
1.765762292E0,-2.876846546E-2,-1.697391886E-3,-1.276657677E-1,1.308780118E-1
1.775719292E0,-7.391574942E-3,2.609725635E-2,-1.125495458E-1,1.157717687E-1
1.785675292E0,2.816114075E-2,2.086752495E-2,-1.457821959E-1,1.499364935E-1
1.795631292E0,9.106124751E-3,7.075149212E-3,-1.308144933E-1,1.313217838E-1
1.805587292E0,-2.202189323E-3,2.272761561E-2,-8.620666981E-2,8.917950476E-2
1.815543292E0,1.847248714E-2,4.896111209E-3,-1.085102892E-1,1.101802503E-1
1.825500333E0,2.470267715E-2,-5.988645181E-3,-7.048818469E-2,7.493110376E-2
1.835456333E0,-1.475347526E-2,-1.798506690E-2,-9.818059802E-2,1.008987487E-1
1.845412333E0,-1.943214314E-2,-2.829781942E-2,-7.752355456E-2,8.478370293E-2
1.855368333E0,-9.040106032E-3,-2.788577344E-2,-1.173407543E-1,1.209470648E-1
1.865324333E0,-1.718270101E-2,-4.149112964E-2,-1.219834435E-1,1.299873822E-1
1.875281333E0,-3.198626133E-2,-1.191583978E-2,-8.127045035E-2,8.814757088E-2
1.885237333E0,-2.785489284E-2,5.711998791E-4,-1.227348107E-1,1.258572806E-1
1.895193333E0,-1.862118915E-2,1.958470065E-3,-1.243843102E-1,1.257856944E-1
1.905149333E0,-4.165894473E-2,7.196771298E-3,-9.983302116E-2,1.084153739E-1
1.915105333E0,-3.430822721E-2,1.817416951E-2,-1.091154760E-1,1.158168468E-1
1.925062333E0,8.282946423E-5,1.980733339E-2,-1.384562194E-1,1.398658715E-1
1.935018333E0,-1.560899600E-2,1.769343702E-2,-1.130091369E-1,1.154459332E-1
1.944974333E0,-2.226844473E-2,1.943110161E-2,-8.307256222E-2,8.817313612E-2
1.954930333E0,-8.055672459E-3,1.515178028E-3,-1.240884411E-1,1.243588792E-1
1.964886333E0,7.424776163E-3,-2.655257173E-3,-1.139113623E-1,1.141839575E-1
1.974842333E0,-3.077473652E-2,1.504389916E-2,-1.043312842E-1,1.098108381E-1
1.984799333E0,-1.054735377E-2,1.144077178E-2,-1.207947046E-1,1.217928511E-1
1.994755333E0,6.278064083E-3,-1.076645991E-2,-1.243866491E-1,1.250094766E-1
2.004711333E0,-1.335198903E-2,-2.507810494E-2,-1.242381299E-1,1.274452819E-1
2.014667333E0,-1.101408949E-2,-4.249409158E-3,-6.855392575E-2,6.956298140E-2
2.024623333E0,1.839038858E-2,-3.597152252E-3,-1.366646326E-1,1.379433496E-1
2.034580333E0,9.954007566E-3,-1.207532259E-2,-1.119695020E-1,1.130577952E-1
2.044536333E0,-7.231123690E-3,-6.032188665E-3,-7.888595581E-2,7.944602239E-2
2.054492333E0,-6.035313271E-3,-4.301522467E-3,-9.864311278E-2,9.892113930E-2
2.064448333E0,1.934799805E-2,-2.155506615E-2,-1.249859887E-1,1.282983370E-1
2.074404333E0,-4.158101231E-4,-9.284830280E-3,-8.965945065E-2,9.013988053E-2
2.084360333E0,-7.115129549E-3,2.189436911E-2,-5.567777216E-2,6.024950440E-2
2.094317333E0,2.424657606E-3,-3.598285150E-3,-1.408489001E-1,1.409157169E-1
2.104273333E0,-1.635972368E-2,-7.532931380E-3,-1.146504503E-1,1.160565008E-1
2.114229333E0,-2.734207375E-2,6.335092708E-5,-9.533885121E-2,9.918210303E-2
2.124185333E0,-1.640016083E-2,-1.371948654E-2,-1.167443383E-1,1.186862676E-1
2.134141333E0,-1.192468369E-2,-2.035008291E-2,-1.408424681E-1,1.428037982E-1
2.144098333E0,-4.372732418E-2,-1.213925824E-2,-1.133020824E-1,1.220524574E-1
2.154054333E0,-3.417809011E-2,-4.975286163E-3,-8.036939442E-2,8.747648184E-2
2.164010333E0,-2.969196009E-2,-1.340044783E-2,-1.354536742E-1,1.393157649E-1
2.173966333E0,-2.463161521E-2,-2.936963232E-2,-1.133003283E-1,1.196087629E-1
2.183922333E0,-3.322071819E-2,-4.564007632E-3,-8.979744494E-2,9.585419866E-2
2.193879333E0,-2.685183953E-2,6.581607666E-3,-1.062661278E-1,1.098035918E-1
2.203835333E0,-2.108484037E-2,8.761522751E-3,-1.396508056E-1,1.415050610E-1
2.213791333E0,-1.145213731E-2,1.998371830E-2,-1.058217394E-1,1.082993120E-1
2.223747333E0,-8.736160453E-3,5.310258530E-3,-9.519442499E-2,9.574182938E-2
2.233703333E0,-5.574771948E-4,-2.403516266E-3,-1.222874987E-1,1.223123870E-1
2.243659333E0,-3.861861186E-2,2.397765895E-2,-1.100130236E-1,1.190344096E-1
2.253616333E0,-4.673642926E-3,4.120470744E-2,-7.992559075E-2,9.004316138E-2
2.263572333E0,7.656965442E-3,-2.008315751E-2,-1.020789367E-1,1.043171685E-1
2.273528333E0,-1.919512991E-3,-2.337979943E-2,-1.552184325E-1,1.569810860E-1
2.283484333E0,1.023191476E-2,-1.622808823E-2,-8.561259270E-2,8.773573363E-2
2.293440333E0,-1.375497183E-2,-3.353637647E-2,-4.249873281E-2,5.585722949E-2
2.303397333E0,3.288430229E-2,-4.675013367E-3,-1.399484289E-1,1.438360032E-1
2.313353333E0,1.691910122E-3,-2.607046880E-2,-9.803500235E-2,1.014563630E-1
2.323309333E0,-9.092292432E-3,-4.501182955E-2,-5.058133900E-2,6.831695570E-2
2.333265333E0,2.984555913E-2,-1.777650403E-2,-1.727273351E-1,1.761859636E-1
